Nsim,V,type,NSE,R2,PBIAS,KGE,RSR,RMSE,NRMSE,UObjFunc_1
6,V2,V,-113.14699715,0.759479682107547,-188.3975,-0.939673617573278,10.6839598066447,0.5036466952802,8.72341665289467,-57.5658176636948
6,V2,ALL,-0.49203644014192,0.903456686598601,-57.0156480419466,0.297325450773085,1.22148943513316,0.411904513418959,1.1646444795582,-0.478346696621062
7,V1,C,0.846225595576428,0.900758590249113,-19.1527613769351,0.770266650421276,0.392140796683503,0.060732639759785,0.389742359525688,0.748965720531761
7,V1,V,0.8721082641541,0.90703364954798,-5.34176813855869,0.765039092858635,0.357619540637672,0.0710356276494789,0.352473667456595,0.811033189202469
7,V1,ALL,0.859524971994998,0.89889977110238,-14.2770347187516,0.777005959467384,0.374799983998135,0.0639888681213727,0.373194837504489,0.775657338762208
7,V2,C,-0.270093096394239,0.87524732398946,-33.9560672021583,0.48511536228763,1.12698407104725,0.305302288519919,1.05419706855263,-0.299431401382675
7,V2,V,-54.999097535,0.806449915618976,-130.77375,-0.612113301747482,7.48325447482578,0.352763998966259,6.11005169290735,-31.2891773625222
7,V2,ALL,0.105408065971783,0.911822443081935,-44.5320334261839,0.497755883813961,0.945828702264959,0.318947589867335,0.901812283444346,0.09216299772075
8,V1,C,0.890447422393627,0.900414925094785,-4.19767534743846,0.846969598440076,0.330987277106496,0.0512615143223802,0.328962871100057,0.82972433313583
8,V1,V,0.878607405732649,0.908812449801259,-2.96543505738464,0.776063369179704,0.348414400200898,0.069207167920008,0.343400981989192,0.829002890982638
8,V1,ALL,0.887661089774718,0.903212273026684,-3.76265472815319,0.822162869125226,0.335169972141422,0.0572229137173826,0.333734548105863,0.8320366109758
8,V2,C,-1.13073637304806,0.905283213324231,-43.3592801520633,0.237606493114286,1.45970420738177,0.395436853567671,1.36542825751376,-1.11246835301987
8,V2,V,-145.36564796,0.720155845964365,-213.21,-1.22983194608118,12.098167132256,0.570313067943096,9.87811209897924,-70.0815886566873
8,V2,ALL,-0.780171616415489,0.889971340147389,-61.9130755366213,0.216961519608826,1.33423072083335,0.449922561789147,1.27213907773678,-0.729759064430186
9,V1,C,0.890447422393627,0.900414925094785,-4.19767534743846,0.846969598440076,0.330987277106496,0.0512615143223802,0.328962871100057,0.82972433313583
9,V1,V,0.878607405732649,0.908812449801259,-2.96543505738464,0.776063369179704,0.348414400200898,0.069207167920008,0.343400981989192,0.829002890982638
9,V1,ALL,0.887661089774718,0.903212273026684,-3.76265472815319,0.822162869125226,0.335169972141422,0.0572229137173826,0.333734548105863,0.8320366109758
9,V2,C,-1.13073637304806,0.905283213324231,-43.3592801520633,0.237606493114286,1.45970420738177,0.395436853567671,1.36542825751376,-1.11246835301987
9,V2,V,-145.36564796,0.720155845964365,-213.21,-1.22983194608118,12.098167132256,0.570313067943096,9.87811209897924,-70.0815886566873
9,V2,ALL,-0.780171616415489,0.889971340147389,-61.9130755366213,0.216961519608826,1.33423072083335,0.449922561789147,1.27213907773678,-0.729759064430186
10,V1,C,0.873651882109022,0.895426996912799,5.12822528006687,0.797366478462159,0.355454804287378,0.0550509122290932,0.353280748392819,0.812444521890562
10,V1,V,0.87633098885027,0.918158384941708,3.72498170336872,0.751960024637933,0.351666050607291,0.0698530583182311,0.346605843619472,0.8391594244733
10,V1,ALL,0.877052669695425,0.904326228907439,4.63283497780964,0.783852253974139,0.350638460960254,0.0598638185554951,0.349136790415491,0.825136946486108
10,V2,C,-1.6036893923172,0.920154221484056,-47.5411122692992,0.127353946590322,1.61359517609505,0.437126231561319,1.50938007747471,-1.52641269508527
10,V2,V,-233.730915575,0.828397404775566,-270.73375,-1.70884093453843,15.3209306367139,0.722235596487277,12.5094874815078,-101.872967820081
10,V2,ALL,-1.47311788395348,0.917793007195228,-71.9217597902671,0.0270011755643996,1.57261498274482,0.530309301604605,1.49942955333429,-1.31268452701916
11,V1,C,0.866496413435299,0.896717093680396,-13.0947734209917,0.804563673526894,0.365381426135349,0.0565882935824825,0.363146656387774,0.778680929900597
11,V1,V,0.867883328203577,0.902506765253374,-3.82312390367623,0.760923613175444,0.363478571302935,0.0721994340790223,0.358248391127017,0.81070881598324
11,V1,ALL,0.869505108786476,0.89726245945783,-9.8215817006963,0.792335132409625,0.361240766267491,0.0616739294014196,0.359693689495634,0.793844031173142
11,V2,C,-0.616295016221505,0.880720978381832,-38.070283279171,0.376264240071751,1.27133591793102,0.344407498910992,1.18922585709941,-0.63720139477793
11,V2,V,-79.338429605,0.855580677640624,-157.81625,-0.700354612401741,8.96317073389769,0.422527920458124,7.31839825849892,-42.94947873397
11,V2,ALL,-0.186807284813575,0.902509140120014,-51.1508411163908,0.397998399371523,1.08940684999387,0.367364289493908,1.03870867593704,-0.18844094229982
12,V1,C,0.866496413435299,0.896717093680396,-13.0947734209917,0.804563673526894,0.365381426135349,0.0565882935824825,0.363146656387774,0.778680929900597
12,V1,V,0.867883328203577,0.902506765253374,-3.82312390367623,0.760923613175444,0.363478571302935,0.0721994340790223,0.358248391127017,0.81070881598324
12,V1,ALL,0.869505108786476,0.89726245945783,-9.8215817006963,0.792335132409625,0.361240766267491,0.0616739294014196,0.359693689495634,0.793844031173142
12,V2,C,-0.616295016221505,0.880720978381832,-38.070283279171,0.376264240071751,1.27133591793102,0.344407498910992,1.18922585709941,-0.63720139477793
12,V2,V,-79.338429605,0.855580677640624,-157.81625,-0.700354612401741,8.96317073389769,0.422527920458124,7.31839825849892,-42.94947873397
12,V2,ALL,-0.186807284813575,0.902509140120014,-51.1508411163908,0.397998399371523,1.08940684999387,0.367364289493908,1.03870867593704,-0.18844094229982
13,V1,C,0.875471960617775,0.887775358260598,-3.25108109774944,0.824987129396742,0.352885306271351,0.0546529623124034,0.350726966108414,0.803096766528127
13,V1,V,0.871371950998545,0.904215078164854,-2.88395584965272,0.7657999508353,0.358647527527313,0.0712398214521745,0.35348686239679,0.814187793946615
13,V1,ALL,0.876094303448767,0.894193529923386,-3.12147402835609,0.805576811532293,0.352002409865661,0.0600966828840934,0.350494897971121,0.810168669131772
13,V2,C,-1.18544150077906,0.911713988427463,-43.8328836838555,0.221285997469584,1.47832388223253,0.400480961545302,1.38284536849992,-1.16248906446701
13,V2,V,-157.52273795,0.772227961772561,-222.035,-1.30612119066451,12.590581318986,0.593525695315713,10.2801665988446,-74.6675687876156
13,V2,ALL,-0.870641726350194,0.892513590101642,-63.2989513354088,0.189030464610173,1.36771405138289,0.461213641827141,1.30406418077911,-0.810365649675303
14,V1,C,0.84421367526767,0.863352393342362,6.34091253421619,0.789709835336352,0.394697763779237,0.0611286489555029,0.392283687532233,0.77507538110635
14,V1,V,0.846121525168277,0.883563788490143,3.33065192192481,0.741156767033452,0.392273469446664,0.0779190982201241,0.386628952588121,0.800048234758522
14,V1,ALL,0.847841751332272,0.871028851352099,5.27819331756741,0.776800394729252,0.390074670630802,0.066596685491338,0.388404107619715,0.787691190313163
14,V2,C,-1.71512159369592,0.919570987234027,-48.5016401986633,0.105535806369565,1.64776260234778,0.446382257174974,1.5413407781811,-1.62096401594838
14,V2,V,-254.400748085,0.829343574962838,-282.41625,-1.82846807141582,15.9812624058614,0.753363934607084,13.0486461132947,-108.728818481557
14,V2,ALL,-1.63558386725603,0.924758609837856,-74.0535119340215,-0.0118676303534315,1.62344814122781,0.54745100320942,1.54789706824101,-1.44029131061978
15,V1,C,0.853130553743504,0.870090393428344,6.01334101456966,0.801545692239738,0.383235497124805,0.0593534352632738,0.380891527141902,0.783892439081003
15,V1,V,0.853696354841623,0.888200393050103,3.15672278106286,0.751551097813943,0.382496594963115,0.0759770723057943,0.37699275989201,0.806951756229846
15,V1,ALL,0.856051746658249,0.876984663713891,5.00486251972394,0.787732452949101,0.379405130884851,0.0647750958412094,0.377780262044105,0.795669028718221
15,V2,C,-1.71327799346193,0.91906232603094,-48.4954013121589,0.106402443259231,1.64720308203389,0.446230681978223,1.54081739485222,-1.61918505178692
15,V2,V,-253.08415883,0.825119978620523,-281.685,-1.82079212686358,15.9400175291623,0.751419632473538,13.014969812489,-108.297161591418
15,V2,ALL,-1.62770153120863,0.923600218958869,-73.9680758097111,-0.00951968150940674,1.621018670839,0.546631749444641,1.5455806591136,-1.43375652707093
16,V1,C,0.841165935721238,0.861141326031579,6.28340254462732,0.784891584442564,0.398539915540165,0.0617237005817871,0.396102339673568,0.772421546251457
16,V1,V,0.84479451005712,0.883540578541522,3.48226981225804,0.738008886729565,0.393961279750789,0.07825435580726,0.388292476585735,0.800139411769953
16,V1,ALL,0.84554665301808,0.869826590154483,5.29451222366377,0.772475837293702,0.393005530472435,0.0670970654590421,0.391322415541394,0.786089897559019
16,V2,C,-1.71034896145711,0.919272672125689,-48.4653105647189,0.106707253736689,1.64631374939806,0.44598975994929,1.53998550034569,-1.61682639917673
16,V2,V,-252.63588521,0.827122156512069,-281.4375,-1.81799463187289,15.925950056747,0.750756485464273,13.0034837693597,-108.146973551301
16,V2,ALL,-1.62393759221393,0.923194357610863,-73.9142361680048,-0.00871664529846594,1.61985727526036,0.546240109478756,1.54447331187806,-1.43085786836008
17,V1,C,0.848346083002542,0.866974765457566,5.83616988874852,0.792308605686649,0.389427678776763,0.0603124467733642,0.387045835767928,0.77985776390778
17,V1,V,0.848787987828139,0.886409689498507,3.20294774762787,0.742380723351919,0.388859887584026,0.077241042625866,0.383264489572085,0.803505529361996
17,V1,ALL,0.851304804518077,0.874417176600823,4.90655742939941,0.778462367163366,0.385610159982751,0.0658344683214302,0.383958717019473,0.791912466390565
17,V2,C,-1.70040961335529,0.917577691837363,-48.3787632595499,0.108791354321441,1.64329230916331,0.445171245613556,1.53715920180243,-1.60837679916112
17,V2,V,-250.53426566,0.816481810702623,-280.2625,-1.80634901507023,15.8598318294993,0.747639642341148,12.9494984628749,-107.465996417572
17,V2,ALL,-1.60807144509846,0.922234162023711,-73.7087907586433,-0.00493227542045527,1.61495245908307,0.544586132078046,1.53979675314588,-1.41852136521957
18,V1,C,0.842879245957519,0.865888384297906,8.17686009658822,0.78428487340139,0.396384603690003,0.0613898975720698,0.393960210282543,0.774518705248183
18,V1,V,0.845275164698607,0.883969134464803,4.90612204903788,0.740219937780118,0.393350778951044,0.0781330892024959,0.387690760428145,0.80247004676114
18,V1,ALL,0.846729416627949,0.872828117994815,7.02218393281573,0.772963173715448,0.391497871478314,0.0668396657881092,0.389821213360644,0.788241406676858
18,V2,C,-1.81948467049259,0.917308892090999,-49.3805107609295,0.0856066220666941,1.67913211823626,0.454880323151733,1.57068427339202,-1.7083653151527
18,V2,V,-269.415905975,0.824762998042865,-290.59625,-1.91465792535277,16.4443274710461,0.775193031121926,13.426737155765,-113.585257054398
18,V2,ALL,-1.76459417707394,0.925152565441813,-75.7299279043094,-0.0402061769364943,1.66270688248829,0.560689638150685,1.58532880933375,-1.53802092031504
19,V1,C,0.846467376264657,0.866669538428847,6.44510314693332,0.788260458801044,0.391832392401831,0.0606848757773135,0.389435841526431,0.77917611611024
19,V1,V,0.846967399339169,0.885607231008222,3.64005103146662,0.739753232243685,0.391193814701653,0.077704641391731,0.385564833253696,0.802711350157519
19,V1,ALL,0.849484067980746,0.873889230757355,5.45482915715452,0.775079442488003,0.387963828235641,0.0662363054982331,0.386302305276353,0.791199638772132
19,V2,C,-1.70409118475122,0.919255078957442,-48.4060947942854,0.107659114551059,1.64441210915975,0.44547460172158,1.53820667878453,-1.61163827520141
19,V2,V,-251.02450739,0.8243277283986,-280.54,-1.80894829961095,15.8752797578499,0.748367864667281,12.9621116435556,-107.62316631576
19,V2,ALL,-1.61241227494576,0.922499174490066,-73.7634496695614,-0.00600676701466862,1.61629585006761,0.545039143617811,1.54107762619237,-1.4218397246534
20,V1,C,0.863272337472793,0.87631727388233,2.4705911296041,0.812656895120407,0.369767038183782,0.0572675133905624,0.3675054448693,0.794653741419998
20,V1,V,0.861882113745625,0.894762615904775,0.441406611745401,0.75848791154885,0.371642148113444,0.0738210031956462,0.366294500276515,0.811434714810253
20,V1,ALL,0.865215576297173,0.883344532095176,1.75422345949291,0.796842408037891,0.367129982026567,0.0626793836880656,0.365557683658046,0.803951935436981
20,V2,C,-1.48826947813991,0.917930385080973,-46.5778711141088,0.153512941408234,1.57742495166645,0.427327643827895,1.47554593062108,-1.42708706005837
20,V2,V,-211.947480275,0.865344583063275,-257.82125,-1.59136906545342,14.5927201122683,0.687907423156149,11.9149060781023,-94.349006750047
20,V2,ALL,-1.30284505503618,0.907100691662946,-69.6532306515921,0.071463350124592,1.51751278579002,0.511728016353858,1.44689166995264,-1.17423732916614
21,V1,C,0.846097561474423,0.866505608259145,6.49346534870454,0.78756014065738,0.392304012884876,0.0607579177998277,0.389904577453468,0.778911031102955
21,V1,V,0.846854365937083,0.885615906040832,3.66729294509559,0.73948308762623,0.391338260412801,0.0777333333131353,0.385707200500927,0.802760080437253
21,V1,ALL,0.849225010884107,0.87379756590634,5.49573521510275,0.774571064361157,0.388297552291915,0.0662932815535629,0.386634600100979,0.791054302450821
21,V2,C,-1.70650224061917,0.919252104402756,-48.4340394873996,0.107532175332823,1.64514505154384,0.445673157311639,1.5388922836059,-1.61355629905979
21,V2,V,-251.418565655,0.822988046369227,-280.75875,-1.81084483342445,15.8876859754654,0.748952699374266,12.9722412778209,-107.745373710036
21,V2,ALL,-1.6156441441495,0.922153469598551,-73.8122371511279,-0.00653576602663719,1.61729531754392,0.545376179004831,1.5420305810402,-1.4241979195304
